call_type,timepoint,animal_id,colony,umap_1,umap_2
sc,57,278,boffin,-1.625464,6.4694433
sc,57,278,boffin,1.741231,7.667533
sc,57,278,boffin,1.3894355,7.58967
sc,57,278,boffin,1.203312,8.684062
sc,57,278,boffin,1.8692067,8.359088
sc,57,278,boffin,1.9795381,8.356158
sc,57,278,boffin,-1.7602936,6.2014585
sc,57,278,boffin,3.2753212,7.5383058
sc,57,278,boffin,0.5893283,8.107776
sc,57,278,boffin,1.9751086,8.296109
sc,57,278,boffin,1.5995835,8.183213
sc,57,278,boffin,1.6267442,8.232182
sc,57,278,boffin,1.1708716,7.5658636
sc,57,278,boffin,1.6305615,8.3334875
sc,57,278,boffin,1.642997,8.437888
sc,57,278,boffin,-0.17109063,7.0041304
sc,57,278,boffin,1.8746253,8.141018
sc,57,278,boffin,-0.77240276,5.941996
sc,57,278,boffin,-0.12294727,7.1705775
sc,57,278,boffin,0.860801,8.512872
sc,57,278,boffin,2.0418804,7.3889813
sc,57,278,boffin,-1.587785,6.093893
sc,57,278,boffin,1.2655073,7.5351067
sc,57,278,boffin,1.5568417,7.089637
sc,57,278,boffin,2.6734056,7.1309333
sc,57,278,boffin,1.2787882,8.17792
sc,57,278,boffin,-1.5603626,6.129762
sc,57,278,boffin,-0.78670156,6.4402237
sc,57,278,boffin,-1.422365,6.0127563
sc,57,278,boffin,-1.5085739,6.1593266
sc,57,278,boffin,0.8856352,8.376712
sc,57,278,boffin,-0.8108735,6.8385644
sc,57,278,boffin,-0.7587542,6.478089
sc,57,278,boffin,-1.2591445,6.254344
sc,57,278,boffin,-1.2932497,6.272614
sc,57,278,boffin,1.0786576,6.5012136
sc,57,278,boffin,-1.6393725,6.1842217
sc,57,278,boffin,-0.8372406,6.683492
sc,57,278,boffin,-1.0644395,6.6610603
sc,57,278,boffin,0.2145119,7.444996
sc,57,278,boffin,0.8194702,6.111291
sc,57,278,boffin,-0.41759878,6.8863406
sc,57,278,boffin,-0.13572258,6.9191685
sc,57,278,boffin,1.4514991,6.9972887
sc,57,278,boffin,1.1405292,6.964914
sc,57,278,boffin,2.2104821,7.1904397
sc,57,278,boffin,0.9624651,6.994262
sc,57,278,boffin,-0.50427485,6.7945905
sc,57,278,boffin,-0.83924514,6.512287
sc,57,278,boffin,-0.4205036,6.769034
sc,57,278,boffin,0.2764435,7.3672276
sc,57,278,boffin,0.98415023,7.5807014
sc,57,278,boffin,-1.4862319,6.131866
sc,57,278,boffin,2.0649192,7.2672734
sc,57,278,boffin,1.4604458,7.2459497
sc,57,278,boffin,1.0018413,7.144891
sc,57,278,boffin,2.1584237,6.8044662
sc,57,278,boffin,1.5681484,7.137838
sc,57,278,boffin,-0.39693883,6.8315806
sc,57,278,boffin,1.5326458,5.4618025
sc,57,278,boffin,-0.14187746,7.0315847
sc,57,278,boffin,-0.08806501,6.4102464
sc,57,278,boffin,-0.34476444,6.8866067
sc,57,278,boffin,0.16290818,7.593591
sc,57,278,boffin,0.20283204,6.967749
sc,57,278,boffin,-0.4890558,6.914863
sc,57,278,boffin,0.87965554,6.8618107
sc,57,278,boffin,2.6320028,6.9944396
sc,57,278,boffin,-1.9121442,5.4430676
sc,57,278,boffin,0.39555034,7.3945904
sc,57,278,boffin,-0.16758889,6.45553
sc,57,278,boffin,-1.0327493,6.666659
sc,57,278,boffin,1.8341454,7.317037
sc,57,278,boffin,-1.822566,6.1842756
sc,57,278,boffin,-1.9029354,5.6713905
sc,57,278,boffin,0.8485649,6.512435
sc,57,278,boffin,-0.9523589,6.5831885
sc,57,278,boffin,1.5091367,7.2544527
sc,57,278,boffin,-1.0587139,6.742748
sc,57,278,boffin,1.5702257,7.675062
sc,57,278,boffin,-1.5467885,6.0697803
sc,57,278,boffin,0.9531307,6.8575535
sc,57,278,boffin,-1.5805045,6.1601667
sc,57,278,boffin,10.92746,6.538976
sc,57,278,boffin,0.5690324,6.7019086
sc,57,278,boffin,-1.2211645,6.489104
sc,57,278,boffin,-1.6766306,5.808431
sc,57,278,boffin,-1.7476653,6.0847206
sc,57,278,boffin,-1.5208879,6.1376915
sc,57,278,boffin,-1.4984504,6.125086
sc,57,278,boffin,-0.8841437,5.578371
sc,57,278,boffin,-0.27669436,7.1018214
sc,57,278,boffin,1.1551031,7.261
sc,57,278,boffin,2.2502577,6.5866995
sc,57,278,boffin,-1.450824,6.0768123
sc,57,278,boffin,-0.55351824,6.7576537
sc,57,278,boffin,-0.5808125,6.7268915
sc,57,278,boffin,-1.2118144,5.7714224
sc,57,278,boffin,1.9487284,8.454718
sc,57,278,boffin,0.32104608,7.382994
sc,57,278,boffin,-1.327847,6.271277
sc,57,278,boffin,-1.8051163,6.3018703
sc,57,278,boffin,-2.1043699,5.8837547
sc,57,278,boffin,1.1418527,8.597041
sc,57,278,boffin,0.99733156,7.599735
sc,57,278,boffin,1.5717528,8.259402
sc,57,278,boffin,-1.7903396,6.1633363
sc,57,278,boffin,1.0242615,7.7979703
sc,57,278,boffin,0.7239009,7.8219714
sc,57,278,boffin,0.23766112,7.187895
sc,57,278,boffin,-0.797408,6.452161
sc,57,278,boffin,0.7066548,7.870437
sc,57,278,boffin,0.9343463,7.0725894
sc,57,278,boffin,-0.3338312,6.753142
sc,57,278,boffin,0.73661596,6.1423736
sc,57,278,boffin,3.778686,7.0673156
sc,57,278,boffin,-0.72685844,6.241908
sc,57,278,boffin,0.5089161,7.6382794
sc,57,278,boffin,-0.4414371,6.8461194
sc,57,278,boffin,0.29888493,7.293617
sc,57,278,boffin,0.39624944,7.21347
sc,57,278,boffin,0.9617193,7.7625456
sc,57,278,boffin,1.9912783,8.175443
sc,57,278,boffin,-0.66294336,6.924695
sc,57,278,boffin,-1.4633324,5.8181567
sc,57,278,boffin,-1.1719114,6.4485855
sc,57,278,boffin,1.0309659,8.552569
sc,57,278,boffin,-0.40349054,6.563762
sc,57,278,boffin,1.8681245,8.291805
sc,57,278,boffin,1.8335576,8.434687
sc,57,278,boffin,1.3635883,7.6355314
sc,57,278,boffin,3.1428196,7.572479
sc,57,278,boffin,2.3421574,7.671473
sc,57,278,boffin,-0.02228286,7.1159177
sc,57,278,boffin,1.2503532,8.599792
sc,57,278,boffin,-0.20937528,7.4668064
sc,57,278,boffin,-1.9874203,6.0229497
sc,57,278,boffin,0.14350213,7.047539
sc,57,278,boffin,0.319574,6.289681
sc,57,278,boffin,-0.3449386,7.361954
sc,57,278,boffin,1.7632797,8.216095
sc,57,278,boffin,1.8320346,7.976443
sc,57,278,boffin,-1.8272791,5.9348288
