,WeightID,AnimalID,DateMeasured,Weight,Colony
0,0,0278,1,2.6,Boffin
1,1,0278,3,2.6,Boffin
2,2,0278,5,2.7,Boffin
3,3,0278,7,2.8,Boffin
4,4,0278,9,3.2,Boffin
5,5,0278,11,3.5,Boffin
6,6,0278,13,3.7,Boffin
7,7,0278,15,4.0,Boffin
8,8,0278,17,4.3,Boffin
9,9,0278,20,5.1,Boffin
10,10,0278,22,5.8,Boffin
11,11,0278,24,6.2,Boffin
12,12,0278,27,7.2,Boffin
13,13,0278,29,7.5,Boffin
14,14,0278,31,8.1,Boffin
15,15,0278,36,9.5,Boffin
16,16,0278,38,9.8,Boffin
17,17,0278,41,10.6,Boffin
18,18,0278,42,10.5,Boffin
19,19,0278,46,11.7,Boffin
20,20,0278,51,13.3,Boffin
21,21,0278,53,13.9,Boffin
22,22,0278,55,14.3,Boffin
23,23,0278,55,14.2,Boffin
24,24,0278,57,14.7,Boffin
25,25,0278,59,15.5,Boffin
26,26,0278,70,18.5,Boffin
27,27,0278,77,20.0,Boffin
28,28,0278,84,21.3,Boffin
29,29,0278,85,21.6,Boffin
30,30,0278,91,22.0,Boffin
31,31,0278,98,23.9,Boffin
32,32,0278,98,23.1,Boffin
33,33,0278,105,25.3,Boffin
34,34,0278,112,27.1,Boffin
35,35,0278,113,26.8,Boffin
36,36,0278,120,27.7,Boffin
37,37,0278,127,28.3,Boffin
38,38,0278,168,34.8,Boffin
39,39,0278,176,36.2,Boffin
40,40,0278,184,35.8,Boffin
41,41,0278,196,38.0,Boffin
42,42,0278,210,41.2,Boffin
43,43,0278,252,43.6,Boffin
44,44,0278,266,44.8,Boffin
45,45,0278,280,45.3,Boffin
46,46,0278,297,49.8,Boffin
47,47,0278,360,52.7,Boffin
48,48,0278,371,52.6,Boffin
49,49,0278,385,51.6,Boffin
50,50,0278,436,54.3,Boffin
51,51,0278,451,55.2,Boffin
52,52,0278,454,56.3,Boffin
53,53,0278,463,57.7,Boffin
54,54,0278,469,57.6,Boffin
55,55,0279,1,2.6,Boffin
56,56,0279,3,2.6,Boffin
57,57,0279,5,2.5,Boffin
58,58,0279,7,2.7,Boffin
59,59,0279,9,3.0,Boffin
60,60,0279,11,3.2,Boffin
61,61,0279,13,3.7,Boffin
62,62,0279,15,3.7,Boffin
63,63,0279,17,4.0,Boffin
64,64,0279,20,4.5,Boffin
65,65,0279,22,5.2,Boffin
66,66,0279,24,5.5,Boffin
67,67,0279,27,6.6,Boffin
68,68,0279,29,6.6,Boffin
69,69,0279,31,7.3,Boffin
70,70,0279,36,8.7,Boffin
71,71,0279,38,9.3,Boffin
72,72,0279,41,9.8,Boffin
73,73,0279,42,9.5,Boffin
74,74,0279,46,11.3,Boffin
75,75,0279,51,12.8,Boffin
76,76,0279,53,13.1,Boffin
77,77,0279,55,13.4,Boffin
78,78,0279,55,13.5,Boffin
79,79,0279,57,13.8,Boffin
80,80,0279,59,14.6,Boffin
81,81,0279,70,17.0,Boffin
82,82,0279,77,18.8,Boffin
83,83,0279,84,19.3,Boffin
84,84,0279,85,19.4,Boffin
85,85,0279,91,20.2,Boffin
86,86,0279,98,21.0,Boffin
87,87,0279,98,20.7,Boffin
88,88,0279,105,21.9,Boffin
89,89,0279,112,24.0,Boffin
90,90,0279,113,22.8,Boffin
91,91,0279,120,23.7,Boffin
92,92,0279,127,23.8,Boffin
93,93,0279,168,27.7,Boffin
94,94,0279,176,28.7,Boffin
95,95,0279,184,28.4,Boffin
96,96,0279,196,29.6,Boffin
97,97,0279,210,30.3,Boffin
98,98,0279,252,31.2,Boffin
99,99,0279,266,32.2,Boffin
100,100,0279,280,32.0,Boffin
101,101,0279,297,34.1,Boffin
102,102,0279,360,37.5,Boffin
103,103,0279,371,40.9,Boffin
104,104,0279,385,41.5,Boffin
105,105,0279,436,48.2,Boffin
106,106,0279,451,47.9,Boffin
107,107,0279,454,48.7,Boffin
108,108,0279,463,48.1,Boffin
109,109,0279,469,49.2,Boffin
110,110,0280,1,2.6,Boffin
111,111,0280,3,2.8,Boffin
112,112,0280,5,2.8,Boffin
113,113,0280,7,2.9,Boffin
114,114,0280,9,3.1,Boffin
115,115,0280,11,3.4,Boffin
116,116,0280,13,3.6,Boffin
117,117,0280,15,3.7,Boffin
118,118,0280,17,4.2,Boffin
119,119,0280,20,4.7,Boffin
120,120,0280,22,5.2,Boffin
121,121,0280,24,5.6,Boffin
122,122,0280,27,6.3,Boffin
123,123,0280,29,7.1,Boffin
124,124,0280,31,7.5,Boffin
125,125,0280,36,8.7,Boffin
126,126,0280,38,9.4,Boffin
127,127,0280,41,9.6,Boffin
128,128,0280,42,9.4,Boffin
129,129,0280,46,11.0,Boffin
130,130,0280,51,12.1,Boffin
131,131,0280,53,12.4,Boffin
132,132,0280,55,13.0,Boffin
133,133,0280,55,12.9,Boffin
134,134,0280,57,13.3,Boffin
135,135,0280,59,14.1,Boffin
136,136,0280,70,16.0,Boffin
137,137,0280,77,17.6,Boffin
138,138,0280,84,18.3,Boffin
139,139,0280,85,18.4,Boffin
140,140,0280,91,19.4,Boffin
141,141,0280,98,21.2,Boffin
142,142,0280,98,20.3,Boffin
143,143,0280,105,21.5,Boffin
144,144,0280,112,23.5,Boffin
145,145,0280,113,22.5,Boffin
146,146,0280,120,23.8,Boffin
147,147,0280,127,24.1,Boffin
148,148,0280,168,29.4,Boffin
149,149,0280,176,30.1,Boffin
150,150,0280,184,29.9,Boffin
151,151,0280,196,31.4,Boffin
152,152,0280,210,32.9,Boffin
153,153,0280,252,34.0,Boffin
154,154,0280,266,34.7,Boffin
155,155,0280,280,33.4,Boffin
156,156,0280,297,36.5,Boffin
157,157,0280,360,36.8,Boffin
158,158,0280,371,37.2,Boffin
159,159,0280,385,39.1,Boffin
160,160,0280,436,42.1,Boffin
161,161,0280,441,43.5,Boffin
162,162,0280,451,42.7,Boffin
163,163,0280,463,43.2,Boffin
164,164,0281,1,2.3,Boffin
165,165,0281,3,2.3,Boffin
166,166,0281,5,2.3,Boffin
167,167,0281,7,2.4,Boffin
168,168,0281,9,2.5,Boffin
169,169,0281,11,2.9,Boffin
170,170,0281,13,3.1,Boffin
171,171,0281,15,3.3,Boffin
172,172,0281,17,3.5,Boffin
173,173,0281,20,4.4,Boffin
174,174,0281,22,4.6,Boffin
175,175,0281,24,5.3,Boffin
176,176,0281,27,5.7,Boffin
177,177,0281,29,6.3,Boffin
178,178,0281,31,6.6,Boffin
179,179,0281,36,7.9,Boffin
180,180,0281,38,8.2,Boffin
181,181,0281,41,8.8,Boffin
182,182,0281,42,8.7,Boffin
183,183,0281,46,10.5,Boffin
184,184,0281,51,12.0,Boffin
185,185,0281,53,12.8,Boffin
186,186,0281,55,13.0,Boffin
187,187,0281,55,13.3,Boffin
188,188,0281,59,14.1,Boffin
189,189,0281,70,16.4,Boffin
190,190,0281,77,17.5,Boffin
191,191,0281,84,18.6,Boffin
192,192,0281,85,18.8,Boffin
193,193,0281,91,19.7,Boffin
194,194,0281,98,21.3,Boffin
195,195,0281,98,21.0,Boffin
196,196,0281,105,21.8,Boffin
197,197,0281,112,23.4,Boffin
198,198,0281,113,22.5,Boffin
199,199,0281,120,24.4,Boffin
200,200,0281,127,24.8,Boffin
201,201,0281,168,27.2,Boffin
202,202,0281,176,28.2,Boffin
203,203,0281,184,27.0,Boffin
204,204,0281,196,28.7,Boffin
205,205,0281,210,29.2,Boffin
206,206,0281,252,28.7,Boffin
207,207,0281,266,28.2,Boffin
208,208,0281,280,26.7,Boffin
209,209,0281,297,29.3,Boffin
210,210,0281,360,30.6,Boffin
211,211,0281,371,29.9,Boffin
212,212,0281,385,31.9,Boffin
213,213,0281,436,33.1,Boffin
214,214,0281,451,35.7,Boffin
215,215,0281,454,36.4,Boffin
216,216,0281,463,35.5,Boffin
217,217,0281,469,37.7,Boffin
218,218,0282,3,2.1,Boffin
219,219,0282,5,2.2,Boffin
220,220,0282,7,2.2,Boffin
221,221,0282,9,2.6,Boffin
222,222,0282,11,2.8,Boffin
223,223,0282,13,3.1,Boffin
224,224,0282,15,3.2,Boffin
225,225,0282,17,3.5,Boffin
