,pup ID,day,body_length,belly_width,head_width,weight,potbelly,rel_head
0,409,1,37.943,9.133,9.995,2.3,0.24070316000316264,0.2634214479614158
1,410,1,36.321,9.896,9.813,2.3,0.27245945871534377,0.27017427934252913
2,411,1,37.992,10.482,9.985,2.4,0.2759001895135818,0.2628184881027585
3,412,1,36.097,10.149,9.712,2.3,0.2811590990941075,0.26905282987505885
4,413,1,36.159,9.463,9.424,2.0,0.2617052462734036,0.26062667662269423
5,414,1,36.763,10.842,9.683,2.3,0.29491608410630255,0.26338982128770777
6,415,1,35.441,9.208,9.992,2.2,0.25981208205186085,0.2819333540249993
7,416,1,34.829,9.083,9.098,2.2,0.26078842344023656,0.2612190990266732
8,417,1,37.664,10.047,10.179,2.3,0.2667533984706882,0.27025807136788443
9,418,1,36.821,9.851,9.318,2.3,0.2675375465087858,0.2530621112951848
10,409,5,38.703,9.73,9.912,2.4,0.2514017001266052,0.25610417797069995
11,410,5,36.431,9.335,9.69,2.0,0.25623781943948837,0.26598226784881007
12,411,5,37.403,9.989,9.802,2.4,0.2670641392401679,0.26206454027751785
13,412,5,37.469,10.193,9.77,2.5,0.2720382182604286,0.2607488857455496
14,413,5,37.223,8.792,9.065,1.8,0.2361980495929936,0.2435322246997824
15,415,5,38.645,10.288,9.758,2.2,0.26621813947470563,0.2525035580282054
16,416,5,35.427,10.101,9.068,2.0,0.28512151748666276,0.2559629660993028
17,417,5,37.673,9.862,9.738,2.3,0.2617789929126961,0.25848751094948635
18,418,5,35.119,9.574,9.276,2.2,0.27261596286910217,0.26413052763461375
19,409,7,39.783,9.365,9.727,2.5,0.2354020561546389,0.24450142020461002
20,410,7,41.25,10.748,10.07,2.7,0.26055757575757577,0.24412121212121213
21,411,7,37.465,10.243,9.82,2.4,0.27340184171893767,0.2621113038836247
22,412,7,36.355,10.513,9.864,2.6,0.2891761793425939,0.2713244395543942
23,413,7,38.08,9.568,9.244,2.2,0.25126050420168067,0.24275210084033613
24,415,7,38.542,9.99,9.933,2.5,0.259197758289658,0.2577188521612786
25,416,7,36.8,9.597,9.709,2.2,0.2607880434782609,0.26383152173913044
26,417,7,39.475,10.122,9.885,2.5,0.25641545281823935,0.2504116529449018
27,418,7,37.52,9.787,9.845,2.5,0.2608475479744136,0.26239339019189767
28,409,9,41.294,9.423,9.859,2.5,0.22819295781469465,0.23875139245410956
29,410,9,38.755,10.722,10.019,2.7,0.2766610759901948,0.25852148109921297
30,411,9,41.933,10.001,10.501,2.9,0.23849951112488968,0.2504232943028164
