pup ID,day,body_length,belly_width,head_width
409,1,37.943,9.133,9.995
410,1,36.321,9.896,9.813
411,1,37.992,10.482,9.985
412,1,36.097,10.149,9.712
413,1,36.159,9.463,9.424
414,1,36.763,10.842,9.683
415,1,35.441,9.208,9.992
416,1,34.829,9.083,9.098
417,1,37.664,10.047,10.179
418,1,36.821,9.851,9.318
409,5,38.703,9.73,9.912
410,5,36.431,9.335,9.69
411,5,37.403,9.989,9.802
412,5,37.469,10.193,9.77
413,5,37.223,8.792,9.065
415,5,38.645,10.288,9.758
416,5,35.427,10.101,9.068
417,5,37.673,9.862,9.738
418,5,35.119,9.574,9.276
409,7,39.783,9.365,9.727
410,7,41.25,10.748,10.07
411,7,37.465,10.243,9.82
412,7,36.355,10.513,9.864
413,7,38.08,9.568,9.244
415,7,38.542,9.99,9.933
416,7,36.8,9.597,9.709
417,7,39.475,10.122,9.885
418,7,37.52,9.787,9.845
409,9,41.294,9.423,9.859
410,9,38.755,10.722,10.019
411,9,41.933,10.001,10.501
412,9,40.088,10.358,10.174
413,9,38.529,9.441,10.123
415,9,40.927,10.7,10.386
416,9,35.472,8.608,9.106
417,9,39.368,10.51,10.282
418,9,39.387,10.226,9.993
409,14,42.425,11.113,10.364
410,14,41.744,10.857,10.302
411,14,41.6,12.117,10.33
412,14,44.823,12.36,10.203
413,14,43.16,10.935,10.451
415,14,42.124,10.617,11.094
416,14,38.521,10.299,9.4
417,14,42.794,12.237,10.725
418,14,40.91,10.878,10.61
409,20,45.308,11.566,11.012
410,20,43.171,11.514,10.508
411,20,46.901,11.952,11.499
412,20,45.664,12.563,11.079
413,20,43.911,10.745,11.04
415,20,44.737,11.884,11.017
416,20,41.768,11.602,10.572
417,20,44.127,12.588,10.891
418,20,43.821,12.581,11.184
409,22,47.153,13.795,11.461
410,22,44.38,12.617,10.937
411,22,48.411,14.637,11.594
412,22,46.552,12.632,11.896
413,22,46.255,13.233,10.988
415,22,46.067,13.657,11.824
416,22,42.09,11.928,10.427
417,22,47.155,14.608,11.075
418,22,46.552,12.823,11.069
409,27,49.628,15.737,11.603
411,27,51.164,15.63,12.451
412,27,50.635,16.433,12.187
413,27,48.553,15.795,11.67
415,27,50.827,15.238,12.243
416,27,46.353,14.729,11.092
417,27,50.945,17.332,12.161
418,27,49.259,17.657,11.915
409,30,51.316,19.188,11.869
411,30,54.37,17.838,12.505
412,30,50.671,16.9,11.89
413,30,51.706,17.892,11.868
415,30,49.02,16.107,11.871
416,30,47.274,17.217,11.061
417,30,51.539,17.697,11.803
409,33,51.442,18.691,11.942
411,33,55.041,17.504,12.399
412,33,50.769,18.985,12.432
413,33,52.214,17.906,12.137
415,33,53.791,18.884,12.635
416,33,47.817,18.086,11.521
417,33,51.681,19.229,12.214
409,35,54.65,19.022,12.309
411,35,56.906,18.876,12.673
412,35,54.82,20.316,12.701
413,35,54.766,19.09,12.535
415,35,55.097,18.036,12.895
416,35,49.625,19.386,11.817
417,35,55.278,19.423,12.59
409,37,55.375,18.628,12.625
411,37,56.888,18.95,12.739
412,37,52.163,18.593,12.413
413,37,53.98,18.784,12.2
415,37,53.295,17.749,12.817
416,37,49.592,18.047,11.729
417,37,56.181,19.522,12.501
409,40,55.353,19.406,12.445
411,40,57.959,19.614,12.586
412,40,54.355,19.508,12.893
413,40,55.279,19.16,12.264
415,40,56.891,18.725,12.672
416,40,51.063,19.411,11.63
417,40,53.633,19.412,12.992
409,42,59.193,21.263,13.486
411,42,59.175,19.314,14.31
412,42,59.37,19.136,13.583
413,42,57.422,19.817,12.88
415,42,60.575,20.924,13.611
416,42,53.154,19.858,12.663
417,42,58.771,21.777,13.135
409,44,59.981,21.07,13.646
411,44,62.177,19.178,13.925
412,44,60.883,20.839,13.543
413,44,60.841,21.312,13.34
415,44,59.172,21.033,13.527
416,44,53.13,21.77,12.443
417,44,57.428,20.742,13.632
409,47,59.889,18.569,12.91
411,47,63.892,18.997,14.045
412,47,61.216,20.02,12.7
413,47,60.568,20.685,13.61
415,47,58.458,20.073,13.054
416,47,55.982,19.689,12.921
417,47,60.804,21.239,13.585
409,50,63.212,22.717,14.038
411,50,64.028,20.662,14.416
412,50,63.347,20.728,14.052
413,50,61.487,20.939,13.919
415,50,62.303,22.456,13.472
416,50,59.096,21.419,13.676
417,50,64.754,20.965,15.048
409,54,64.059,21.655,13.967
411,54,66.039,19.894,14.247
412,54,62.005,21.352,14.417
413,54,63.714,20.478,13.327
415,54,61.548,20.956,13.798
416,54,57.533,21.682,13.385
417,54,61.184,21.831,13.906
409,56,65.183,21.452,14.126
411,56,66.008,19.445,13.564
412,56,60.433,21.631,13.973
413,56,64.706,21.427,14.141
415,56,64.376,21.151,13.522
416,56,61.829,21.815,13.172
417,56,61.468,21.142,13.7
409,58,64.235,21.119,14.633
411,58,65.872,19.917,14.523
412,58,66.033,21.32,14.081
413,58,64.153,20.122,14.078
415,58,66.773,19.893,13.888
416,58,60.377,20.409,13.427
417,58,65.396,22.071,14.061
409,61,67.487,23.163,14.402
411,61,69.748,20.768,14.758
412,61,66.181,21.585,14.103
413,61,66.91,23.094,14.773
415,61,66.198,22.802,14.478
416,61,64.352,21.364,14.43
417,61,66.657,22.006,14.854
